Task,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
initialize_paths,2024-05-29T14:28:06,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,0.014996051788330078,1.6922976817510955e-08,1.130616587409899e-06,22.5,0.0,0.054070472717285156,9.375363588333129e-08,0.0,4.5080528063105404e-11,9.37987164113944e-08,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
load_dataset,2024-05-29T14:28:07,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,0.9042274951934814,8.621108751325678e-07,9.534217857506048e-07,22.5,9.832450792000548,0.07453680038452148,5.651414394378662e-06,-8.79445148e-07,6.4390894446357074e-09,4.7784083358232975e-06,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
instantiate_vectorizer,2024-05-29T14:28:07,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,0.018003225326538086,5.180967668600693e-08,2.877266258362471e-06,22.5,5.20513228149962,0.07456111907958984,2.3752152919769274e-07,4.9166706000000025e-08,4.764417525393582e-10,2.871646769502318e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
perepare_data_for_model_training,2024-05-29T14:28:19,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,11.493192911148071,1.3046842159628114e-05,1.1353809493521724e-06,22.5,0.025141045457393874,0.14059782028198242,7.182594388723372e-05,7.416672599999996e-08,4.144154297781218e-07,7.231452604301186e-05,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
instantiate_hyperparameters,2024-05-29T14:28:19,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,0.017037630081176758,1.9183549842950354e-08,1.1284625934824556e-06,22.5,0.0,0.14059782028198242,1.062124967575104e-07,0.0,1.158620700417912e-10,1.0632835882755701e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
instantiate_grid_search_parameters,2024-05-29T14:28:19,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,0.016030073165893555,1.8061637859483008e-08,1.2041773286163153e-06,22.5,0.0,0.14059782028198242,9.999275207519436e-08,0.0,1.1720291534328763e-10,1.00109954990536e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
grid_search_360_fits_cv_5_folds,2024-05-29T14:35:29,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,429.6926953792572,0.000495218458202733,1.1524943938010194e-06,22.5,2.3320363549008267e-05,0.49749755859375,0.0026855793863534926,2.7777799999999697e-09,5.925736519691175e-05,0.0027448395293304044,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
cross_validate_neural_network_10_folds,2024-05-29T14:35:43,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,14.787756204605103,1.6999510877572415e-05,1.1495663578215373e-06,22.5,0.0325831719979475,0.49785947799682617,9.242347925901432e-05,-1.2611121199999996e-07,1.9255524906943274e-06,9.42229205377087e-05,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
save_cross_validated_scores,2024-05-29T14:35:44,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,0.021001815795898438,4.234730527135841e-08,1.9249335864496234e-06,22.5,0.0,0.49791812896728516,2.3126006126403253e-07,0.0,3.4576790473774682e-09,2.3471774031119316e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
predict_test_data,2024-05-29T14:35:44,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,0.020996570587158203,2.3920948358951456e-08,1.1390330860616851e-06,22.5,0.0,0.4981241226196289,1.3147890567770382e-07,0.0,1.1073571062121968e-09,1.325862627838889e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
save_model_and_report,2024-05-29T14:35:46,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,2.9641685485839844,3.3802993984647723e-06,1.1403828210817458e-06,22.5,0.18128887686894232,0.4979524612426757,1.8526042997837108e-05,-1.2111120799999989e-07,3.310003148573057e-07,1.8735932104694403e-05,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
