Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
1094.a5.txt,1482.48,1347.71,548.07,251.57,1,0,0
1104.a5.txt,1669.46,989.93,578.86,444.63,0,1,0
1112.a5.txt,1993.96,1087.61,1019.64,521.15,0,0,1
2071.a5.txt,2283.91,1061.14,892.48,400.56,1,0,0
0222.a5.txt,1771.54,1151.98,697.0,416.26,0,0,1
0215.a5.txt,1762.39,952.01,558.62,283.24,1,0,0
2005.a5.txt,1921.68,1120.22,619.31,336.98,1,0,0
0185.a5.txt,1805.79,1047.7,724.02,221.47,0,1,0
1065.a5.txt,1816.68,966.14,726.67,388.11,0,1,0
2019.a5.txt,1804.44,1164.44,666.67,364.44,1,0,0
2075.a5.txt,1990.16,814.65,623.29,415.53,1,0,0
1050.a5.txt,1609.66,1106.64,764.59,482.9,0,1,0
1057.a5.txt,1370.31,1207.18,611.75,342.58,0,1,0
0223.a5.txt,1586.94,1032.65,675.78,387.24,0,0,1
0197.a5.txt,1505.29,886.9,374.29,333.6,1,0,0
0119.a5.txt,1837.75,1092.72,736.75,231.79,0,1,0
1062.a5.txt,1488.33,868.87,772.33,450.52,0,0,1
0219.a5.txt,2063.06,981.98,891.89,603.6,1,0,0
0238.a5.txt,1898.2,1145.28,668.08,328.74,1,0,0
1061.a5.txt,1457.29,1072.03,586.26,234.51,1,0,0
1022.a5.txt,2377.12,1152.82,1054.51,455.76,1,0,0
1067.a5.txt,1746.17,1064.74,638.84,340.72,0,1,0
0103.a5.txt,1844.48,1103.07,623.87,388.79,0,1,0
1012.a5.txt,1975.0,1025.0,741.67,325.0,1,0,0
0108.a5.txt,2099.92,1061.67,765.03,327.87,1,0,0
1064.a5.txt,2182.7,1236.86,606.31,582.05,0,0,1
0111.a5.txt,1669.78,1044.78,680.97,307.84,0,1,0
2045.a5.txt,1915.47,1034.17,737.41,323.74,1,0,0
0122.a5.txt,1757.36,1025.87,722.57,365.74,1,0,0
1014.a5.txt,1851.85,1012.35,790.12,353.91,1,0,0
2028.a5.txt,2038.44,912.83,734.39,439.26,1,0,0
1068.a5.txt,1963.64,1309.09,727.27,509.09,0,1,0
0188.a5.txt,1559.35,1055.08,744.76,457.72,1,0,0
0115.a5.txt,1329.88,1079.45,751.3,483.59,1,0,0
0199.a5.txt,1814.71,993.31,773.64,382.04,0,1,0
0200.a5.txt,1478.26,1165.22,695.65,426.09,0,0,1
1072.a5.txt,1390.33,1055.76,542.75,460.97,1,0,0
1003.a5.txt,2204.65,1041.86,716.28,241.86,1,0,0
0137.a5.txt,1797.02,1061.45,577.28,456.24,0,1,0
0139.a5.txt,1340.87,1195.48,525.04,315.02,0,0,1
0125.a5.txt,2228.63,1008.65,883.77,480.31,1,0,0
0182.a5.txt,2265.06,1076.31,738.96,425.7,0,0,1
0187.a5.txt,2282.61,1105.07,778.99,362.32,0,1,0
1008.a5.txt,1921.85,1020.73,877.19,430.62,1,0,0
0193.a5.txt,2187.77,1076.66,835.49,396.21,1,0,0
1023.a5.txt,1647.24,994.56,675.99,435.12,0,0,1
2049.a5.txt,2249.21,1129.88,1098.2,337.91,1,0,0
1021.a5.txt,1824.06,1138.42,659.77,401.03,1,0,0
2035.a5.txt,1801.87,889.24,663.03,468.02,1,0,0
1013.a5.txt,1675.39,1125.65,689.35,296.68,1,0,0
0227.a5.txt,1625.54,928.88,761.97,348.33,1,0,0
0130.a5.txt,1658.73,928.57,738.1,285.71,1,0,0
1043.a5.txt,1473.41,1115.95,627.72,540.54,1,0,0
1095.a5.txt,1487.31,1041.12,813.65,419.95,0,1,0
2020.a5.txt,2007.01,911.48,815.07,254.16,1,0,0
0105.a5.txt,1530.52,1042.25,553.99,582.16,0,0,1
1081.a5.txt,2037.91,1071.09,900.47,417.06,0,0,1
0140.a5.txt,1716.35,1029.81,632.34,280.04,0,1,0
1006.a5.txt,1605.05,1018.94,658.25,405.77,0,1,0
1010.a5.txt,2230.7,877.03,886.56,305.05,1,0,0
2021.a5.txt,1753.4,960.77,944.76,344.28,1,0,0
1102.a5.txt,2066.49,1006.29,691.82,314.47,1,0,0
0159.a5.txt,2112.18,1060.47,964.07,333.04,0,0,1
0104.a5.txt,1897.48,935.25,638.49,368.71,0,1,0
2050.a5.txt,1669.41,871.71,682.57,460.53,0,1,0
0107.a5.txt,2000.0,1220.78,779.22,545.45,1,0,0
0192.a5.txt,1658.21,1116.75,651.44,439.93,0,0,1
0178.a5.txt,1519.67,1017.64,793.76,461.33,0,1,0
0102.a5.txt,1657.46,1033.94,876.09,268.35,0,0,1
2040.a5.txt,2015.37,973.53,836.89,333.05,1,0,0
0158.a5.txt,1580.33,1202.81,763.83,544.34,1,0,0
2036.a5.txt,1816.77,1125.78,621.12,442.55,1,0,0
2014.a5.txt,2200.62,1018.66,832.04,458.79,1,0,0
1048.a5.txt,2151.7,1006.19,673.37,410.22,0,0,1
0163.a5.txt,2313.55,936.07,882.8,433.79,1,0,0
2012.a5.txt,2037.74,830.19,716.98,369.81,1,0,0
0106.a5.txt,1996.14,964.32,848.6,655.74,1,0,0
0171.a5.txt,1572.46,949.28,521.74,384.06,1,0,0
2058.a5.txt,1436.25,937.02,622.12,345.62,1,0,0
0198.a5.txt,2138.0,1010.69,806.61,369.29,1,0,0
1018.a5.txt,2038.0,958.55,898.1,276.34,1,0,0
1088.a5.txt,1358.13,1115.92,856.4,320.07,1,0,0
0149.a5.txt,2579.37,1238.1,825.4,365.08,1,0,0
0161.a5.txt,2190.78,881.16,970.09,258.69,1,0,0
2039.a5.txt,1277.43,987.46,736.68,423.2,0,0,1
0134.a5.txt,1752.17,986.58,710.34,473.56,1,0,0
2015.a5.txt,1845.69,945.54,763.99,332.83,1,0,0
0112.a5.txt,2171.58,1081.32,643.43,580.88,1,0,0
1034.a5.txt,1813.52,1014.34,747.95,379.1,0,0,1
0186.a5.txt,1959.35,967.48,886.18,398.37,1,0,0
0214.a5.txt,1628.32,1097.35,663.72,309.73,0,1,0
1041.a5.txt,1636.68,865.47,719.79,437.02,1,0,0
0101.a5.txt,2040.16,1084.34,763.05,409.64,0,1,0
1005.a5.txt,1798.45,1000.0,581.4,356.59,1,0,0
1036.a5.txt,1384.22,944.37,659.77,310.48,1,0,0
0234.a5.txt,1588.39,922.29,512.38,333.05,0,1,0
0165.a5.txt,2054.2,987.76,830.42,288.46,1,0,0
2007.a5.txt,1534.15,873.46,705.49,559.91,0,1,0
2032.a5.txt,1687.76,902.95,987.34,337.55,0,1,0
1032.a5.txt,2159.47,1162.79,664.45,573.09,0,0,1
2034.a5.txt,1714.94,884.15,609.76,373.48,0,0,1
1070.a5.txt,1354.55,1190.91,700.0,327.27,1,0,0
0206.a5.txt,1480.88,951.99,707.89,358.01,0,0,1
0157.a5.txt,1737.21,1172.84,634.92,590.83,1,0,0
0121.a5.txt,1543.54,1029.02,613.46,382.59,0,0,1
1074.a5.txt,1906.47,1070.14,845.32,530.58,1,0,0
1099.a5.txt,1540.45,1110.15,611.02,335.63,1,0,0
2066.a5.txt,2134.72,1148.01,844.4,275.14,1,0,0
2048.a5.txt,1478.98,765.77,1036.04,322.82,1,0,0
1121.a5.txt,1509.16,1062.27,673.99,505.49,1,0,0
2026.a5.txt,1791.04,839.55,736.94,438.43,0,0,1
1100.a5.txt,1587.03,1117.75,571.67,324.23,1,0,0
1055.a5.txt,1799.82,1065.2,1046.83,459.14,0,1,0
0128.a5.txt,1945.79,1132.62,832.53,484.03,0,1,0
